Date,Semester,Subject,Grade
2023-01-15,1,Mathematics,4
2023-01-20,1,Programming,3
2023-01-25,1,Data Structures,5
2023-01-30,1,Algorithms,2
2023-02-05,1,Computer Architecture,4
2023-02-10,1,Operating Systems,5
2023-02-15,2,Databases,3
2023-02-20,2,Software Engineering,4
2023-02-25,2,Networks,5
2023-03-01,2,Machine Learning,4
2023-03-05,2,Cybersecurity,3
2023-03-10,2,Artificial Intelligence,5
2023-03-15,3,Compiler Design,4
2023-03-20,3,Web Development,2
2023-03-25,3,Mobile Applications,5
2023-03-30,3,Data Science,4
2023-04-05,3,Embedded Systems,3
2023-04-10,3,Human-Computer Interaction,5
2023-04-15,4,Cloud Computing,4
2023-04-20,4,Big Data,3
2023-04-25,4,Quantum Computing,5
2023-04-30,4,Data Structures 2,4
2023-05-05,4,Programming 2,2
2023-05-10,4,Machine Learning 2,5
2023-05-15,4,Networks 2,3
2023-05-20,5,Robotics,4
2023-05-25,5,Blockchain,3
2023-05-30,5,Deep Learning,5
2023-06-05,5,Virtual Reality,4
2023-06-10,5,Augmented Reality,3
2023-06-15,5,Cryptography,5
